season,week,picked,opponent,pick_spread,p,covered,is_push,is_fav_pick
2019,6,LA,SF,-3.0,0.6126457452774048,0,False,True
2019,6,PIT,LAC,6.0,0.5389811396598816,1,False,False
2019,6,MIA,WAS,6.0,0.8400297164916992,1,False,False
2019,6,PHI,MIN,3.5,0.7680153250694275,0,False,False
2019,6,NE,NYG,-16.5,0.2980620563030243,1,False,True
2019,7,ARI,NYG,3.5,0.42448756098747253,1,False,False
2019,7,ATL,KC,3.0,0.4929521381855011,0,False,False
2019,7,DAL,BAL,-3.0,0.43455201387405396,1,False,True
2019,7,MIA,BUF,17.0,0.831428587436676,1,False,False
2019,7,NO,CHI,4.0,0.5412805676460266,1,False,False
2019,7,CIN,JAX,4.0,0.8131843209266663,0,False,False
2019,7,LA,DEN,-3.0,0.6678969264030457,1,False,True
2019,7,DET,MIN,2.5,0.32235607504844666,0,False,False
2019,7,GB,LV,-5.5,0.6054480075836182,1,False,True
2019,7,IND,HOU,-1.5,0.629762589931488,1,False,True
2019,7,LAC,SEA,3.0,0.7389926910400391,0,True,False
2019,7,NYJ,NE,9.5,0.6360751986503601,0,False,False
2019,7,PHI,TEN,3.0,0.8786957859992981,0,True,False
2019,7,WAS,SF,10.0,0.6568880081176758,1,False,False
2019,8,ARI,NO,12.5,0.4972516894340515,0,False,False
2019,8,SEA,ATL,-7.5,0.5895365476608276,0,False,True
2019,8,BUF,PHI,-1.0,0.6027018427848816,0,False,True
2019,8,CAR,SF,4.5,0.38839808106422424,0,False,False
2019,8,LAC,CHI,3.5,0.7996326684951782,1,False,False
2019,8,CIN,LA,12.0,0.515931248664856,0,False,False
2019,8,CLE,NE,9.5,0.6396312117576599,0,False,False
2019,8,IND,DEN,-6.0,0.8517193794250488,0,False,True
2019,8,NYG,DET,6.5,0.5756217837333679,1,False,False
2019,8,GB,KC,-5.0,0.48031097650527954,1,False,True
2019,8,LV,HOU,5.0,0.7360048294067383,1,False,False
2019,8,NYJ,JAX,7.0,0.5950769186019897,0,False,False
2019,8,MIA,PIT,14.0,0.5602314472198486,1,False,False
2019,8,WAS,MIN,16.5,0.6283183693885803,1,False,False
2019,8,TB,TEN,2.0,0.7162715792655945,0,False,False
2019,9,ARI,SF,10.5,0.3037538230419159,1,False,False
2019,9,BAL,NE,3.0,0.37318646907806396,1,False,False
2019,9,BUF,WAS,-10.5,0.7596874833106995,1,False,True
2019,9,TEN,CAR,3.5,0.5044185519218445,0,False,False
2019,9,CHI,PHI,5.0,0.6840730905532837,0,False,False
2019,9,CLE,DEN,-4.0,0.6969417929649353,0,False,True
2019,9,NYG,DAL,6.5,0.5280598402023315,0,False,False
2019,9,LV,DET,-2.5,0.5196844339370728,1,False,True
2019,9,LAC,GB,4.0,0.5860997438430786,1,False,False
2019,9,HOU,JAX,1.0,0.8365431427955627,1,False,False
2019,9,PIT,IND,-1.0,0.647138237953186,1,False,True
2019,9,KC,MIN,5.5,0.44338956475257874,1,False,False
2019,9,NYJ,MIA,-3.5,0.6636919379234314,0,False,True
2019,9,TB,SEA,4.0,0.6615351438522339,0,False,False
2019,10,ARI,TB,5.5,0.6899823546409607,1,False,False
2019,10,ATL,NO,14.0,0.476001501083374,1,False,False
2019,10,CIN,BAL,10.5,0.6677110195159912,0,False,False
2019,10,CLE,BUF,-3.0,0.7791791558265686,0,True,True
2019,10,GB,CAR,-5.0,0.5247890949249268,1,False,True
2019,10,CHI,DET,-6.0,0.5860655307769775,1,False,True
2019,10,MIN,DAL,3.5,0.601743757724762,1,False,False
2019,10,MIA,IND,11.0,0.4775809347629547,1,False,False
2019,10,KC,TEN,-5.0,0.6347789764404297,0,False,True
2019,10,PIT,LA,4.0,0.724478006362915,1,False,False
2019,10,LV,LAC,1.0,0.786162793636322,1,False,False
2019,10,NYJ,NYG,3.0,0.7480360865592957,1,False,False
2019,10,SEA,SF,6.5,0.6902784705162048,1,False,False
2019,11,MIN,ARI,-10.0,0.6030154824256897,0,True,True
2019,11,ATL,CAR,3.5,0.3871864080429077,1,False,False
2019,11,HOU,BAL,4.0,0.6420342922210693,0,False,False
2019,11,BUF,MIA,-7.0,0.7026849389076233,1,False,True
2019,11,LA,CHI,-5.0,0.5729115605354309,1,False,True
2019,11,LV,CIN,-13.0,0.7858794331550598,0,False,True
2019,11,CLE,PIT,-3.0,0.5800821781158447,1,False,True
2019,11,DAL,DET,-7.5,0.30214884877204895,1,False,True
2019,11,DEN,SF,10.0,0.5418002605438232,1,False,False
2019,11,JAX,IND,2.5,0.5860775113105774,0,False,False
2019,11,KC,LAC,-5.5,0.7131922245025635,1,False,True
2019,11,PHI,NE,4.5,0.33281537890434265,0,False,False
2019,11,TB,NO,5.0,0.6532335877418518,0,False,False
2019,11,WAS,NYJ,-1.0,0.5832706093788147,0,False,True
2019,12,DEN,ATL,3.5,0.4807042181491852,0,True,False
2019,12,LA,BAL,3.5,0.4145483374595642,0,False,False
2019,12,IND,BUF,3.5,0.610899031162262,1,False,False
2019,12,CAR,NO,10.0,0.5951989889144897,1,False,False
2019,12,CHI,NYG,-6.0,0.3123437464237213,0,False,True
2019,12,CIN,PIT,5.5,0.5822617411613464,0,False,False
2019,12,MIA,CLE,11.0,0.2845405042171478,0,False,False
2019,12,NE,DAL,-5.5,0.41016334295272827,0,False,True
2019,12,WAS,DET,4.0,0.6298416256904602,1,False,False
2019,12,GB,SF,3.0,0.6209591031074524,0,False,False
2019,12,TB,HOU,3.5,0.5123077034950256,1,False,False
2019,12,JAX,TEN,4.5,0.6586778163909912,0,False,False
2019,12,NYJ,LV,3.5,0.5447573661804199,1,False,False
2019,12,SEA,PHI,-1.0,0.5857299566268921,1,False,True
2019,13,ARI,LA,2.5,0.4370739758014679,0,False,False
2019,13,NO,ATL,-7.0,0.4179913103580475,1,False,True
2019,13,SF,BAL,5.5,0.3331895172595978,1,False,False
2019,13,BUF,DAL,6.5,0.5249238014221191,1,False,False
2019,13,WAS,CAR,10.5,0.5076825618743896,1,False,False
2019,13,CHI,DET,-5.5,0.5227733850479126,0,False,True
2019,13,NYJ,CIN,-2.5,0.6957584619522095,0,False,True
2019,13,CLE,IND,-1.0,0.6798368692398071,0,True,True
2019,13,LAC,DEN,-4.5,0.5914534330368042,0,False,True
2019,13,GB,NYG,-6.5,0.6949920058250427,1,False,True
2019,13,HOU,NE,3.5,0.6388485431671143,1,False,False
2019,13,JAX,TB,3.0,0.7141101360321045,0,False,False
2019,13,KC,LV,-11.5,0.542251706123352,1,False,True
2019,13,MIA,PHI,10.5,0.590614914894104,1,False,False
2019,13,SEA,MIN,-2.5,0.5220481157302856,1,False,True
2019,13,PIT,TEN,1.0,0.4902796447277069,1,False,False
2019,14,ARI,PIT,2.5,0.5045512318611145,0,False,False
2019,14,CAR,ATL,3.5,0.5069721341133118,0,False,False
2019,14,BUF,BAL,6.5,0.4011828303337097,0,False,False
2019,14,CHI,DAL,3.0,0.6458538770675659,1,False,False
2019,14,CLE,CIN,-6.5,0.62580806016922,1,False,True
2019,14,HOU,DEN,-8.0,0.5844243764877319,0,False,True
2019,14,DET,MIN,12.0,0.4519273042678833,0,False,False
2019,14,GB,WAS,-13.0,0.40597468614578247,0,False,True
2019,14,IND,NE,3.0,0.6745722889900208,0,True,False
2019,14,LAC,JAX,-3.5,0.6635968685150146,1,False,True
2019,14,KC,TB,3.0,0.4414556324481964,1,False,False
2019,14,LA,SEA,-1.0,0.5194220542907715,1,False,True
2019,14,LV,TEN,3.0,0.4507218599319458,0,False,False
2019,14,NYJ,MIA,-5.0,0.5941205620765686,0,False,True
2019,14,NO,SF,-1.0,0.7725605964660645,0,False,True
2019,14,NYG,PHI,9.5,0.4569028317928314,1,False,False
2019,15,ARI,CLE,3.0,0.571458637714386,1,False,False
2019,15,ATL,SF,10.5,0.36017704010009766,1,False,False
2019,15,NYJ,BAL,17.0,0.3074471950531006,0,False,False
2019,15,PIT,BUF,-1.0,0.6130668520927429,0,False,True
2019,15,SEA,CAR,-6.0,0.5636393427848816,0,True,True
2019,15,CHI,GB,4.0,0.4830768406391144,0,False,False
2019,15,NE,CIN,-10.5,0.558542788028717,1,False,True
2019,15,DAL,LA,1.0,0.7246770262718201,1,False,False
2019,15,KC,DEN,-10.0,0.5294085144996643,1,False,True
2019,15,DET,TB,5.5,0.4281269311904907,0,False,False
2019,15,TEN,HOU,-3.0,0.5942832231521606,0,False,True
2019,15,NO,IND,-8.0,0.8226573467254639,1,False,True
2019,15,LV,JAX,-7.0,0.60833740234375,0,False,True
2019,15,LAC,MIN,1.0,0.5263992547988892,0,False,False
2019,15,NYG,MIA,-3.5,0.7072439789772034,1,False,True
2019,15,PHI,WAS,-7.0,0.4507189393043518,1,False,True
2019,16,ARI,SEA,8.0,0.5538216233253479,1,False,False
2019,16,CAR,ATL,7.5,0.44674134254455566,0,False,False
2019,16,CLE,BAL,9.5,0.7550027370452881,0,False,False
2019,16,NE,BUF,-7.0,0.5579479336738586,0,True,True
2019,16,CHI,KC,6.5,0.5742482542991638,0,False,False
2019,16,CIN,MIA,-1.5,0.7768421769142151,0,False,True
2019,16,DAL,PHI,-2.0,0.5773261785507202,0,False,True
2019,16,DET,DEN,9.5,0.5612350702285767,0,False,False
2019,16,MIN,GB,-4.0,0.4598327875137329,0,False,True
