season,week,team,actual_spread,queried_spread,p_cover
2024,1,ARI,6.5,-14.0,0.5313013792037964
2024,1,ARI,6.5,-13.5,0.5313013792037964
2024,1,ARI,6.5,-13.0,0.5313013792037964
2024,1,ARI,6.5,-12.5,0.5313013792037964
2024,1,ARI,6.5,-12.0,0.5313013792037964
2024,1,ARI,6.5,-11.5,0.5313013792037964
2024,1,ARI,6.5,-11.0,0.5313013792037964
2024,1,ARI,6.5,-10.5,0.5227466821670532
2024,1,ARI,6.5,-10.0,0.5227466821670532
2024,1,ARI,6.5,-9.5,0.5227466821670532
2024,1,ARI,6.5,-9.0,0.5227466821670532
2024,1,ARI,6.5,-8.5,0.5227466821670532
2024,1,ARI,6.5,-8.0,0.5227466821670532
2024,1,ARI,6.5,-7.5,0.5227466821670532
2024,1,ARI,6.5,-7.0,0.5227466821670532
2024,1,ARI,6.5,-6.5,0.515101432800293
2024,1,ARI,6.5,-6.0,0.515101432800293
2024,1,ARI,6.5,-5.5,0.515101432800293
2024,1,ARI,6.5,-5.0,0.515101432800293
2024,1,ARI,6.5,-4.5,0.515101432800293
2024,1,ARI,6.5,-4.0,0.515101432800293
2024,1,ARI,6.5,-3.5,0.515101432800293
2024,1,ARI,6.5,-3.0,0.515101432800293
2024,1,ARI,6.5,-2.5,0.5182926058769226
2024,1,ARI,6.5,-2.0,0.5182926058769226
2024,1,ARI,6.5,-1.5,0.5182926058769226
2024,1,ARI,6.5,-1.0,0.5182926058769226
2024,1,ARI,6.5,-0.5,0.5182926058769226
2024,1,ARI,6.5,0.0,0.5182926058769226
2024,1,ARI,6.5,0.5,0.5182926058769226
2024,1,ARI,6.5,1.0,0.5390385985374451
2024,1,ARI,6.5,1.5,0.5390385985374451
2024,1,ARI,6.5,2.0,0.5390385985374451
2024,1,ARI,6.5,2.5,0.5390385985374451
2024,1,ARI,6.5,3.0,0.5390385985374451
2024,1,ARI,6.5,3.5,0.5390385985374451
2024,1,ARI,6.5,4.0,0.5390385985374451
2024,1,ARI,6.5,4.5,0.5390385985374451
2024,1,ARI,6.5,5.0,0.5390385985374451
2024,1,ARI,6.5,5.5,0.5390385985374451
2024,1,ARI,6.5,6.0,0.5390385985374451
2024,1,ARI,6.5,6.5,0.5390385985374451
2024,1,ARI,6.5,7.0,0.5390385985374451
2024,1,ARI,6.5,7.5,0.5390385985374451
2024,1,ARI,6.5,8.0,0.5334062576293945
2024,1,ARI,6.5,8.5,0.5334062576293945
2024,1,ARI,6.5,9.0,0.5334062576293945
2024,1,ARI,6.5,9.5,0.5334062576293945
2024,1,ARI,6.5,10.0,0.5334062576293945
2024,1,ARI,6.5,10.5,0.5334062576293945
2024,1,ARI,6.5,11.0,0.5334062576293945
2024,1,ARI,6.5,11.5,0.5373053550720215
2024,1,ARI,6.5,12.0,0.5373053550720215
2024,1,ARI,6.5,12.5,0.5373053550720215
2024,1,ARI,6.5,13.0,0.5373053550720215
2024,1,ARI,6.5,13.5,0.5373053550720215
2024,1,ARI,6.5,14.0,0.5373053550720215
2024,1,ATL,-4.0,-14.0,0.45626017451286316
2024,1,ATL,-4.0,-13.5,0.45626017451286316
2024,1,ATL,-4.0,-13.0,0.45626017451286316
2024,1,ATL,-4.0,-12.5,0.45626017451286316
2024,1,ATL,-4.0,-12.0,0.45626017451286316
2024,1,ATL,-4.0,-11.5,0.45626017451286316
2024,1,ATL,-4.0,-11.0,0.45626017451286316
2024,1,ATL,-4.0,-10.5,0.44534674286842346
2024,1,ATL,-4.0,-10.0,0.44534674286842346
2024,1,ATL,-4.0,-9.5,0.44534674286842346
2024,1,ATL,-4.0,-9.0,0.44534674286842346
2024,1,ATL,-4.0,-8.5,0.44534674286842346
2024,1,ATL,-4.0,-8.0,0.44534674286842346
2024,1,ATL,-4.0,-7.5,0.44534674286842346
2024,1,ATL,-4.0,-7.0,0.44534674286842346
2024,1,ATL,-4.0,-6.5,0.43779510259628296
2024,1,ATL,-4.0,-6.0,0.43779510259628296
2024,1,ATL,-4.0,-5.5,0.43779510259628296
2024,1,ATL,-4.0,-5.0,0.43779510259628296
2024,1,ATL,-4.0,-4.5,0.43779510259628296
2024,1,ATL,-4.0,-4.0,0.43779510259628296
2024,1,ATL,-4.0,-3.5,0.43779510259628296
2024,1,ATL,-4.0,-3.0,0.43779510259628296
2024,1,ATL,-4.0,-2.5,0.4409428536891937
2024,1,ATL,-4.0,-2.0,0.4409428536891937
2024,1,ATL,-4.0,-1.5,0.4409428536891937
2024,1,ATL,-4.0,-1.0,0.4409428536891937
2024,1,ATL,-4.0,-0.5,0.4409428536891937
2024,1,ATL,-4.0,0.0,0.4409428536891937
2024,1,ATL,-4.0,0.5,0.4409428536891937
2024,1,ATL,-4.0,1.0,0.46155935525894165
2024,1,ATL,-4.0,1.5,0.46155935525894165
2024,1,ATL,-4.0,2.0,0.46155935525894165
2024,1,ATL,-4.0,2.5,0.46155935525894165
2024,1,ATL,-4.0,3.0,0.46155935525894165
2024,1,ATL,-4.0,3.5,0.46155935525894165
2024,1,ATL,-4.0,4.0,0.46155935525894165
2024,1,ATL,-4.0,4.5,0.46155935525894165
2024,1,ATL,-4.0,5.0,0.46155935525894165
2024,1,ATL,-4.0,5.5,0.46155935525894165
2024,1,ATL,-4.0,6.0,0.46155935525894165
2024,1,ATL,-4.0,6.5,0.46155935525894165
2024,1,ATL,-4.0,7.0,0.46155935525894165
2024,1,ATL,-4.0,7.5,0.46155935525894165
2024,1,ATL,-4.0,8.0,0.46155935525894165
2024,1,ATL,-4.0,8.5,0.46155935525894165
2024,1,ATL,-4.0,9.0,0.46155935525894165
2024,1,ATL,-4.0,9.5,0.46155935525894165
2024,1,ATL,-4.0,10.0,0.46155935525894165
2024,1,ATL,-4.0,10.5,0.46155935525894165
2024,1,ATL,-4.0,11.0,0.46155935525894165
2024,1,ATL,-4.0,11.5,0.4654572308063507
2024,1,ATL,-4.0,12.0,0.4654572308063507
2024,1,ATL,-4.0,12.5,0.4654572308063507
2024,1,ATL,-4.0,13.0,0.4654572308063507
2024,1,ATL,-4.0,13.5,0.4654572308063507
2024,1,ATL,-4.0,14.0,0.4654572308063507
2024,1,BAL,3.0,-14.0,0.532967746257782
2024,1,BAL,3.0,-13.5,0.532967746257782
2024,1,BAL,3.0,-13.0,0.532967746257782
2024,1,BAL,3.0,-12.5,0.532967746257782
2024,1,BAL,3.0,-12.0,0.532967746257782
2024,1,BAL,3.0,-11.5,0.532967746257782
2024,1,BAL,3.0,-11.0,0.532967746257782
2024,1,BAL,3.0,-10.5,0.5244162082672119
2024,1,BAL,3.0,-10.0,0.5244162082672119
2024,1,BAL,3.0,-9.5,0.5244162082672119
2024,1,BAL,3.0,-9.0,0.5244162082672119
2024,1,BAL,3.0,-8.5,0.5244162082672119
2024,1,BAL,3.0,-8.0,0.5244162082672119
2024,1,BAL,3.0,-7.5,0.5244162082672119
2024,1,BAL,3.0,-7.0,0.5244162082672119
2024,1,BAL,3.0,-6.5,0.5167730450630188
2024,1,BAL,3.0,-6.0,0.5167730450630188
2024,1,BAL,3.0,-5.5,0.5167730450630188
2024,1,BAL,3.0,-5.0,0.5167730450630188
2024,1,BAL,3.0,-4.5,0.5167730450630188
2024,1,BAL,3.0,-4.0,0.5167730450630188
2024,1,BAL,3.0,-3.5,0.5167730450630188
2024,1,BAL,3.0,-3.0,0.5167730450630188
2024,1,BAL,3.0,-2.5,0.5199634432792664
2024,1,BAL,3.0,-2.0,0.5199634432792664
2024,1,BAL,3.0,-1.5,0.5199634432792664
2024,1,BAL,3.0,-1.0,0.5199634432792664
2024,1,BAL,3.0,-0.5,0.5199634432792664
2024,1,BAL,3.0,0.0,0.5199634432792664
2024,1,BAL,3.0,0.5,0.5199634432792664
2024,1,BAL,3.0,1.0,0.5407012701034546
2024,1,BAL,3.0,1.5,0.5407012701034546
2024,1,BAL,3.0,2.0,0.5407012701034546
2024,1,BAL,3.0,2.5,0.5407012701034546
2024,1,BAL,3.0,3.0,0.5407012701034546
2024,1,BAL,3.0,3.5,0.5407012701034546
2024,1,BAL,3.0,4.0,0.5407012701034546
2024,1,BAL,3.0,4.5,0.5407012701034546
2024,1,BAL,3.0,5.0,0.5407012701034546
2024,1,BAL,3.0,5.5,0.5407012701034546
2024,1,BAL,3.0,6.0,0.5407012701034546
2024,1,BAL,3.0,6.5,0.5407012701034546
2024,1,BAL,3.0,7.0,0.5407012701034546
2024,1,BAL,3.0,7.5,0.5407012701034546
2024,1,BAL,3.0,8.0,0.5407012701034546
2024,1,BAL,3.0,8.5,0.5407012701034546
2024,1,BAL,3.0,9.0,0.5407012701034546
2024,1,BAL,3.0,9.5,0.5407012701034546
2024,1,BAL,3.0,10.0,0.5407012701034546
2024,1,BAL,3.0,10.5,0.5407012701034546
2024,1,BAL,3.0,11.0,0.5407012701034546
2024,1,BAL,3.0,11.5,0.54459148645401
2024,1,BAL,3.0,12.0,0.54459148645401
2024,1,BAL,3.0,12.5,0.54459148645401
2024,1,BAL,3.0,13.0,0.54459148645401
2024,1,BAL,3.0,13.5,0.54459148645401
2024,1,BAL,3.0,14.0,0.54459148645401
2024,1,BUF,-6.5,-14.0,0.47465983033180237
2024,1,BUF,-6.5,-13.5,0.47465983033180237
2024,1,BUF,-6.5,-13.0,0.47465983033180237
2024,1,BUF,-6.5,-12.5,0.47465983033180237
2024,1,BUF,-6.5,-12.0,0.47465983033180237
2024,1,BUF,-6.5,-11.5,0.47465983033180237
2024,1,BUF,-6.5,-11.0,0.47465983033180237
2024,1,BUF,-6.5,-10.5,0.46368157863616943
2024,1,BUF,-6.5,-10.0,0.46368157863616943
2024,1,BUF,-6.5,-9.5,0.46368157863616943
2024,1,BUF,-6.5,-9.0,0.46368157863616943
2024,1,BUF,-6.5,-8.5,0.46368157863616943
2024,1,BUF,-6.5,-8.0,0.46368157863616943
2024,1,BUF,-6.5,-7.5,0.46368157863616943
2024,1,BUF,-6.5,-7.0,0.46368157863616943
2024,1,BUF,-6.5,-6.5,0.45607462525367737
2024,1,BUF,-6.5,-6.0,0.45607462525367737
2024,1,BUF,-6.5,-5.5,0.45607462525367737
2024,1,BUF,-6.5,-5.0,0.45607462525367737
2024,1,BUF,-6.5,-4.5,0.45607462525367737
2024,1,BUF,-6.5,-4.0,0.45607462525367737
2024,1,BUF,-6.5,-3.5,0.45607462525367737
2024,1,BUF,-6.5,-3.0,0.45607462525367737
2024,1,BUF,-6.5,-2.5,0.45924651622772217
2024,1,BUF,-6.5,-2.0,0.45924651622772217
2024,1,BUF,-6.5,-1.5,0.45924651622772217
2024,1,BUF,-6.5,-1.0,0.45924651622772217
2024,1,BUF,-6.5,-0.5,0.45924651622772217
2024,1,BUF,-6.5,0.0,0.45924651622772217
2024,1,BUF,-6.5,0.5,0.45924651622772217
2024,1,BUF,-6.5,1.0,0.4799840450286865
2024,1,BUF,-6.5,1.5,0.4799840450286865
2024,1,BUF,-6.5,2.0,0.4799840450286865
2024,1,BUF,-6.5,2.5,0.4799840450286865
2024,1,BUF,-6.5,3.0,0.4799840450286865
2024,1,BUF,-6.5,3.5,0.4799840450286865
2024,1,BUF,-6.5,4.0,0.4799840450286865
2024,1,BUF,-6.5,4.5,0.4799840450286865
2024,1,BUF,-6.5,5.0,0.4799840450286865
2024,1,BUF,-6.5,5.5,0.4799840450286865
2024,1,BUF,-6.5,6.0,0.4799840450286865
2024,1,BUF,-6.5,6.5,0.4799840450286865
2024,1,BUF,-6.5,7.0,0.4799840450286865
2024,1,BUF,-6.5,7.5,0.4799840450286865
2024,1,BUF,-6.5,8.0,0.4799840450286865
2024,1,BUF,-6.5,8.5,0.4799840450286865
2024,1,BUF,-6.5,9.0,0.4799840450286865
2024,1,BUF,-6.5,9.5,0.4799840450286865
2024,1,BUF,-6.5,10.0,0.4799840450286865
2024,1,BUF,-6.5,10.5,0.4799840450286865
2024,1,BUF,-6.5,11.0,0.4799840450286865
2024,1,BUF,-6.5,11.5,0.4838975965976715
2024,1,BUF,-6.5,12.0,0.4838975965976715
2024,1,BUF,-6.5,12.5,0.4838975965976715
2024,1,BUF,-6.5,13.0,0.4838975965976715
2024,1,BUF,-6.5,13.5,0.4838975965976715
2024,1,BUF,-6.5,14.0,0.4838975965976715
2024,1,CAR,3.5,-14.0,0.5104552507400513
2024,1,CAR,3.5,-13.5,0.5104552507400513
2024,1,CAR,3.5,-13.0,0.5104552507400513
2024,1,CAR,3.5,-12.5,0.5104552507400513
2024,1,CAR,3.5,-12.0,0.5104552507400513
2024,1,CAR,3.5,-11.5,0.5104552507400513
2024,1,CAR,3.5,-11.0,0.5104552507400513
2024,1,CAR,3.5,-10.5,0.5108428001403809
2024,1,CAR,3.5,-10.0,0.5108428001403809
2024,1,CAR,3.5,-9.5,0.5108428001403809
2024,1,CAR,3.5,-9.0,0.5108428001403809
2024,1,CAR,3.5,-8.5,0.5108428001403809
2024,1,CAR,3.5,-8.0,0.5108428001403809
2024,1,CAR,3.5,-7.5,0.5108428001403809
2024,1,CAR,3.5,-7.0,0.5108428001403809
2024,1,CAR,3.5,-6.5,0.5031881332397461
2024,1,CAR,3.5,-6.0,0.5031881332397461
