season,K,init_scale,h,threshold,bets,wins,losses,win_pct,units,roi
2024,0.2,0.25,0.1,0.5,245,115,130,0.4694,-25.45,-0.1039
2024,0.4,0.5,0.05,0.5238095238095238,207,97,110,0.4686,-21.82,-0.1054
2024,0.4,0.25,0.1,0.5238095238095238,207,97,110,0.4686,-21.82,-0.1054
2024,0.1,1.0,0.1,0.5,235,110,125,0.4681,-25.0,-0.1064
2024,0.1,1.0,0.05,0.5,233,109,124,0.4678,-24.91,-0.1069
2024,0.1,0.0,0.05,0.5,246,115,131,0.4675,-26.45,-0.1075
2024,0.05,0.0,0.05,0.5,270,126,144,0.4667,-29.45,-0.1091
2024,0.1,0.0,0.1,0.5,270,126,144,0.4667,-29.45,-0.1091
2024,0.4,0.25,0.0,0.5,223,104,119,0.4664,-24.45,-0.1097
2024,0.05,0.5,0.0,0.5,223,104,119,0.4664,-24.45,-0.1097
2024,0.1,1.0,0.0,0.5,223,104,119,0.4664,-24.45,-0.1097
2024,0.2,0.25,0.05,0.5238095238095238,193,90,103,0.4663,-21.18,-0.1098
2024,0.2,0.25,0.1,0.5238095238095238,204,95,109,0.4657,-22.64,-0.111
2024,0.05,1.0,0.05,0.5,228,106,122,0.4649,-25.64,-0.1124
2024,0.4,0.0,0.1,0.5238095238095238,209,97,112,0.4641,-23.82,-0.114
2024,0.05,1.0,0.1,0.5,233,108,125,0.4635,-26.82,-0.1151
2024,0.4,0.25,0.0,0.5238095238095238,186,86,100,0.4624,-21.82,-0.1173
2024,0.05,1.0,0.0,0.5,223,103,120,0.4619,-26.36,-0.1182
2024,0.05,0.0,0.1,0.5,295,136,159,0.461,-35.36,-0.1199
2024,0.05,1.0,0.1,0.5238095238095238,217,100,117,0.4608,-26.09,-0.1202
2024,0.05,1.0,0.05,0.5238095238095238,207,95,112,0.4589,-25.64,-0.1238
2024,0.05,1.0,0.0,0.5238095238095238,205,94,111,0.4585,-25.55,-0.1246
2024,0.1,0.0,0.05,0.5238095238095238,144,66,78,0.4583,-18.0,-0.125
2024,0.2,0.0,0.1,0.5238095238095238,201,92,109,0.4577,-25.36,-0.1262
2024,0.05,0.0,0.0,0.5,202,92,110,0.4554,-26.36,-0.1305
2024,0.4,0.0,0.0,0.5,202,92,110,0.4554,-26.36,-0.1305
2024,0.1,0.0,0.0,0.5,202,92,110,0.4554,-26.36,-0.1305
2024,0.4,0.25,0.05,0.5238095238095238,198,90,108,0.4545,-26.18,-0.1322
2024,0.4,0.0,0.0,0.5238095238095238,168,76,92,0.4524,-22.91,-0.1364
2024,0.2,0.0,0.0,0.5238095238095238,155,70,85,0.4516,-21.36,-0.1378
2024,0.2,0.0,0.0,0.5,202,91,111,0.4505,-28.27,-0.14
2024,0.4,0.0,0.05,0.5238095238095238,180,81,99,0.45,-25.36,-0.1409
2024,0.2,0.0,0.05,0.5238095238095238,161,71,90,0.441,-25.45,-0.1581
