season,week,cum_bets,cum_units
2024,1,0,0.0
2024,2,0,0.0
2024,3,0,0.0
2024,4,4,1.727272727272727
2024,5,10,1.4545454545454546
2024,6,13,4.181818181818182
2024,7,17,5.909090909090909
2024,8,25,7.454545454545455
2024,9,31,9.090909090909088
2024,10,36,9.818181818181813
2024,11,40,11.545454545454538
2024,12,47,8.363636363636354
2024,13,54,8.999999999999988
2024,14,62,8.636363636363622
2024,15,68,2.6363636363636225
